"id","name","region","federal_district","population","foundation_year","status","old_name","latitude","longitude"
"567","Мамадыш","Татарстан","Приволжский","15726","1391","1781","","55.7090757","51.4089032"
"568","Мамоново","Калининградская область","Северо-Западный","8314","1301","1301","Хайлигенбайль (до 1947)","54.4636264","19.9414303"
"569","Мантурово","Костромская область","Центральный","13043","1617","1958","","58.333271","44.761791"
"570","Мариинск","Кемеровская область","Сибирский","40779","1698","1856","Кийское (до 1857)","56.206299","87.751259"
"571","Мариинский Посад","Чувашия","Приволжский","7851","1620","1856","Сундырь (до 1856)","56.1178077","47.7220654"
"572","Маркс","Саратовская область","Приволжский","28749","1765","1918","Баронск, Екатериненштадт (до 1915); Екатериненград (до 1920); Марксштадт (до 1942)","51.7069911","46.7483653"
"573","Махачкала","Дагестан","Северо-Кавказский","623254","1844","1857","Петровское (до 1857); Петровск-Порт (до 1921)","42.9830241","47.5048717"
"574","Мглин","Брянская область","Центральный","6919","1387","1154","","53.0591919","32.8500077"
"575","Мегион","Ханты-Мансийский АО","Уральский","52887","1810","1980","","61.035404","76.108215"
"576","Медвежьегорск","Карелия","Северо-Западный","11962","1916","1938","Медвежья Гора (до 1938)","62.915024","34.473339"
"577","Медногорск","Оренбургская область","Приволжский","23693","1933","1939","","51.4049435","57.5803138"
"578","Медынь","Калужская область","Центральный","8200","1386","1386","","54.969","35.857"
"579","Межгорье","Башкортостан","Приволжский","15697","1979","1995","Ильмяш, Татлы, Кузъелга, Уфа-105, Солнечный ,Белорецк-15, Белорецк-16","54.2410247","57.9736815"
"580","Междуреченск","Кемеровская область","Сибирский","96174","1946","1955","Ольжерасс (до 1955)","53.6863763","88.0703443"
"581","Мезень","Архангельская область","Северо-Западный","2874","XVI век","1780","","65.843956","44.244141"
"582","Меленки","Владимирская область","Центральный","13407","XVIII век","1778","","55.3368374","41.6314063"
"583","Мелеуз","Башкортостан","Приволжский","56505","1766","1958","","52.96328","55.928612"
"584","Менделеевск","Татарстан","Приволжский","22875","1868","1967","Бондюжский (до 1928); Бондюжск (до 1967)","55.8878706","52.308443"
"585","Мензелинск","Татарстан","Приволжский","16008","1586","1781","","55.7255585","53.1071815"
"586","Мещовск","Калужская область","Центральный","3810","1238","1776","","54.3207145","35.2796334"
"587","Миасс","Челябинская область","Уральский","147995","1773","1919","Миясский завод","55.0505685","60.1087125"
"588","Микунь","Коми","Северо-Западный","8527","1937","1959","","62.358238","50.08218"
"589","Миллерово","Ростовская область","Южный","34841","1786","1926","Миллеров-Глубокинский","48.9196264","40.391854"
"590","Минеральные Воды","Ставропольский край","Северо-Кавказский","70485","1878","1922","Султановский (до 1898); Илларионовский (до 1922)","44.2107377","43.134969"
"591","Минусинск","Красноярский край","Сибирский","70089","1739","1822","","53.7004076","91.6848003"
"592","Миньяр","Челябинская область","Уральский","8500","1771","1943","","55.0709139","57.5485021"
"593","Мирный","Якутия","Дальневосточный","34045","1955","1959","","62.5410457","113.978516"
"594","Мирный","Архангельская область","Северо-Западный","27262","1957","1967","Ленинград-400, Ленинград-300, Мирный-12","62.762352","40.328644"
"595","Михайлов","Рязанская область","Центральный","10303","1137","1551","","54.2301856","39.0274629"
"596","Михайловка","Волгоградская область","Южный","56031","1762","1948","","50.0797109","43.2342365"
"597","Михайловск","Свердловская область","Уральский","9756","1805","1961","Михайловский (до 1961)","56.444538","59.124191"
"598","Михайловск","Ставропольский край","Северо-Кавказский","114133","1784","1999","Михайловское (до 1963); Шпаковское (до 1999)","45.1324913","42.0263304"
"599","Мичуринск","Тамбовская область","Центральный","90451","1635","1635","Козлов (до 1932)","52.8946613","40.5071721"
"600","Могоча","Забайкальский край","Сибирский","12390","1910","1950","","53.7362642","119.7624853"
"601","Можайск","Московская область","Центральный","33880","1231","1277","","55.506478","36.0213092"
"602","Можга","Удмуртия","Приволжский","44345","1835","1926","Сюгинский завод (до 1924); Красный (до 1929)","56.4426833","52.2138722"
"603","Моздок","Северная Осетия","Северо-Кавказский","36784","1763","1785","","43.735584","44.653614"
"604","Мончегорск","Мурманская область","Северо-Западный","39962","1937","1937","Монча-Губа","67.939903","32.931679"
"605","Морозовск","Ростовская область","Южный","24258","1910","1941","Таубевская (до 1917); Морозовская (до 1938)","48.352379","41.828762"
"606","Моршанск","Тамбовская область","Центральный","39023","1623","1779","Морша (до 1779)","53.4428","41.813"
"607","Мосальск","Калужская область","Центральный","4234","1231","1776","","54.4872876","34.9789866"
"608","Москва","Москва","Центральный","13010112","1147","1147","","55.7505412","37.6174782"
"609","Муравленко","Ямало-Ненецкий АО","Уральский","29233","1984","1990","","63.7947977","74.4969322"
"610","Мураши","Кировская область","Приволжский","5700","1895","1944","","59.3951018","48.9644445"
"611","Мурино","Ленинградская область","Северо-Западный","89083","1676","2019","","60.046193","30.4458901"
"612","Мурманск","Мурманская область","Северо-Западный","270384","1916","1916","Романов-на-Мурмане (до 1917)","68.970665","33.07497"
"613","Муром","Владимирская область","Центральный","107497","862","862","","55.5792902","42.0527689"
"614","Мценск","Орловская область","Центральный","36960","1146","1778","","53.278984","36.576077"
"615","Мыски","Кемеровская область","Сибирский","40109","1826","1956","Томазак","53.71386","87.800316"
"616","Мытищи","Московская область","Центральный","255429","1460","1925","","55.9094928","37.7339358"
"617","Мышкин","Ярославская область","Центральный","5621","XV век","1991","Мышкино (с 1943 до 1991)","57.784725","38.451595"
"618","Набережные Челны","Татарстан","Приволжский","548434","1626","1930","Брежнев (с 1982 до 1988)","55.7419774","52.399207"
"619","Навашино","Нижегородская область","Приволжский","14664","1891","1957","Мордовщиково (до 1957)","55.544071","42.188671"
"620","Наволоки","Ивановская область","Центральный","8167","1775","1938","","57.4737882","41.962231"
"621","Надым","Ямало-Ненецкий АО","Уральский","45973","1597","1972","","65.5369941","72.5199792"
"622","Назарово","Красноярский край","Сибирский","45333","1700","1961","Назаровское","56.011593","90.418503"
"623","Назрань","Ингушетия","Северо-Кавказский","122350","1781","1967","Коста-Хетагурово (с 1944 до 1959)","43.2320774","44.7540128"
"624","Называевск","Омская область","Сибирский","10434","1910","1956","Сибирский посад (до 1917); Сибирское (до 1933); Называевка (до 1947); Новоназываевск (до 1956)","55.564896","71.349365"
"625","Нальчик","Кабардино-Балкария","Северо-Кавказский","247054","1724","1921","","43.4769604","43.5966578"
"626","Нариманов","Астраханская область","Южный","11104","1963","1984","Нижневолжский (до 1984)","46.692261","47.851238"
"627","Наро-Фоминск","Московская область","Центральный","71121","1840","1926","","55.3842784","36.723507"
"628","Нарткала","Кабардино-Балкария","Северо-Кавказский","33203","1913","1955","Докшукино (до 1967)","43.5561489","43.8616759"
"629","Нарьян-Мар","Ненецкий АО","Северо-Западный","23399","1929","1935","Белощелье","67.6380175","53.0071044"
"630","Наурская","Чечня","Северо-Кавказский","10840","1642","2024","","43.650589","45.311901"
